id,title,date,author,link,content,dateRead
75,В Абакане 87 человек спасли при пожаре в многоэтажке,"Fri, 20 Jan 2023 18:06:01 +0300",,https://rg.ru/2023/01/20/reg-sibfo/v-abakane-87-chelovek-spasli-pri-pozhare-v-mnogoetazhke.html,"В Абакане при пожаре в многоэтажном доме на улице Жукова спасатели эвакуировали из здания 87 человек, сообщает ГУ МЧС по Хакасии.",2023-01-20 17:25:46.937168
76,Под Соледаром взят в плен элитный коммандос США Майкл Винтер,"Fri, 20 Jan 2023 18:03:05 +0300",,https://rg.ru/2023/01/20/pod-soledarom-vziat-v-plen-elitnyj-kommandos-ssha-majkl-vinter.html,"Под Соледаром добровольцы штурмовых отрядов взяли в плен элитного коммандос из отряда морской пехоты США Майкла Винтера. Об этом сообщают в ТГ-канале ""Осташко! Важное"".",2023-01-20 17:25:46.937168
77,Врио главы ДНР Пушилин: Ситуация в Артемовске близка к оперативному окружению,"Fri, 20 Jan 2023 18:01:28 +0300",,https://rg.ru/2023/01/20/vrio-glavy-dnr-pushilin-situaciia-v-artemovske-blizka-k-operativnomu-okruzheniiu.html,"Ситуация в Артемовске близка к оперативному окружению, бои идут уже внутри города. Об этом заявил врио главы ДНР Денис Пушилин.",2023-01-20 17:25:46.937168
78,Рогов: Взятие Лобкового сильно осложнило ВСУ переброску сил и боеприпасов,"Fri, 20 Jan 2023 18:00:10 +0300",,https://rg.ru/2023/01/20/rogov-vziatie-lobkovogo-silno-oslozhnilo-vsu-perebrosku-sil-i-boepripasov.html,"После взятия под контроль села Лобковое в Запорожской области, российские войска очень осложнили украинцам переброску войск и боеприпасов, заявил председатель движения ""Мы вместе с Россией"" Владимир Рогов в эфире радио ""Комсомольская правда"".",2023-01-20 17:25:46.937168
79,В Иркутской области мужчина и трое детей погибли при пожаре,"Fri, 20 Jan 2023 17:55:06 +0300",,https://rg.ru/2023/01/20/v-irkutskoj-oblasti-muzhchina-i-troe-detej-pogibli-pri-pozhare.html,"Житель города Слюдянка оставил детей одних, а когда начался пожар пытался вытащить их из горящего дома. Погибли четыре человека.",2023-01-20 17:25:46.937168
80,"Минкульт Украины запретил демонтировать танк ""Иосиф Сталин"" на западе страны","Fri, 20 Jan 2023 17:53:00 +0300",,https://rg.ru/2023/01/20/minkult-ukrainy-zapretil-demontirovat-tank-iosif-stalin-na-zapade-strany.html,"Министерство культуры Украины то ли решило не давать разрешения на демонтаж советского танка ""Иосиф Сталин"", который установлен на въезде в Дубно Ровненской области на западе Украины, то ли забыло о нем.",2023-01-20 17:25:46.937168
81,Елена Чайковская назначена главным тренером сборной России по фигурному катанию,"Fri, 20 Jan 2023 17:56:39 +0300",,https://www.kommersant.ru/doc/5782702,Министерство спорта России утвердило Елену Чайковскую в должности главного тренера сборной России по…,2023-01-20 17:25:47.915785
82,Эрдоган созвонился с Зеленским и пообещал внести «весомый вклад» в установление мира с Россией,"Fri, 20 Jan 2023 17:53:32 +0300",,https://www.kommersant.ru/doc/5782709,Президент Турции Реджеп Тайип Эрдоган провел телефонный разговор с украинским коллегой Владимиром Зеленским…,2023-01-20 17:25:47.915785
83,Плата для грузовиков по системе «Платон» вырастет на 30 копеек за километр пробега,"Fri, 20 Jan 2023 17:49:08 +0300",,https://www.kommersant.ru/doc/5782708,В рамках ежегодной индексации размер платы с грузовиков массой более 12 тонн за проезд по федеральным…,2023-01-20 17:25:47.915785
84,В Госдуме рассмотрят вопрос о сохранении пенсионных выплат на период мобилизации,"Fri, 20 Jan 2023 17:48:18 +0300",,https://www.kommersant.ru/doc/5782701,Поскольку мобилизованные военные пенсионеры—участники боевых действий на Украине «заслужили особое к…,2023-01-20 17:25:47.915785
